2026-07-18 09:31: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260718093150
2026-07-18 09:31: Train Epoch 1: 0/374 Loss: 1.174751
2026-07-18 09:32: Train Epoch 1: 20/374 Loss: 0.560853
2026-07-18 09:33: Train Epoch 1: 40/374 Loss: 0.532765
2026-07-18 09:34: Train Epoch 1: 60/374 Loss: 0.507366
2026-07-18 09:35: Train Epoch 1: 80/374 Loss: 0.411002
2026-07-18 09:36: Train Epoch 1: 100/374 Loss: 0.476452
2026-07-18 09:36: Train Epoch 1: 120/374 Loss: 0.435504
2026-07-18 09:37: Train Epoch 1: 140/374 Loss: 0.434041
2026-07-18 09:38: Train Epoch 1: 160/374 Loss: 0.475532
2026-07-18 09:39: Train Epoch 1: 180/374 Loss: 0.382561
2026-07-18 09:40: Train Epoch 1: 200/374 Loss: 0.482567
2026-07-18 09:41: Train Epoch 1: 220/374 Loss: 0.469619
2026-07-18 09:42: Train Epoch 1: 240/374 Loss: 0.447933
2026-07-18 09:43: Train Epoch 1: 260/374 Loss: 0.457369
2026-07-18 09:44: Train Epoch 1: 280/374 Loss: 0.496208
2026-07-18 09:45: Train Epoch 1: 300/374 Loss: 0.448127
2026-07-18 09:46: Train Epoch 1: 320/374 Loss: 0.519265
2026-07-18 09:47: Train Epoch 1: 340/374 Loss: 0.447356
2026-07-18 09:48: Train Epoch 1: 360/374 Loss: 0.394445
2026-07-18 09:48: **********Train Epoch 1: averaged Loss: 0.479017, tf_ratio: 1.000000
2026-07-18 09:49: **********Val Epoch 1: average Loss: 0.455335
2026-07-18 09:49: *********************************Current best model saved!
2026-07-18 09:49: Train Epoch 2: 0/374 Loss: 0.437114
2026-07-18 09:50: Train Epoch 2: 20/374 Loss: 0.450071
2026-07-18 09:51: Train Epoch 2: 40/374 Loss: 0.392648
2026-07-18 09:52: Train Epoch 2: 60/374 Loss: 0.414099
2026-07-18 09:52: Train Epoch 2: 80/374 Loss: 0.433791
2026-07-18 09:53: Train Epoch 2: 100/374 Loss: 0.453098
2026-07-18 09:54: Train Epoch 2: 120/374 Loss: 0.558123
2026-07-18 09:55: Train Epoch 2: 140/374 Loss: 0.513503
2026-07-18 09:56: Train Epoch 2: 160/374 Loss: 0.340299
2026-07-18 09:57: Train Epoch 2: 180/374 Loss: 0.294754
2026-07-18 09:58: Train Epoch 2: 200/374 Loss: 0.319249
2026-07-18 09:59: Train Epoch 2: 220/374 Loss: 0.256835
2026-07-18 10:00: Train Epoch 2: 240/374 Loss: 0.245197
2026-07-18 10:01: Train Epoch 2: 260/374 Loss: 0.280398
2026-07-18 10:02: Train Epoch 2: 280/374 Loss: 0.284705
2026-07-18 10:03: Train Epoch 2: 300/374 Loss: 0.219111
2026-07-18 10:04: Train Epoch 2: 320/374 Loss: 0.286538
2026-07-18 10:05: Train Epoch 2: 340/374 Loss: 0.217290
2026-07-18 10:06: Train Epoch 2: 360/374 Loss: 0.272406
2026-07-18 10:07: **********Train Epoch 2: averaged Loss: 0.343463, tf_ratio: 1.000000
2026-07-18 10:08: **********Val Epoch 2: average Loss: 0.234452
2026-07-18 10:08: *********************************Current best model saved!
2026-07-18 10:08: Train Epoch 3: 0/374 Loss: 0.265928
2026-07-18 10:09: Train Epoch 3: 20/374 Loss: 0.333369
2026-07-18 10:10: Train Epoch 3: 40/374 Loss: 0.183055
2026-07-18 10:11: Train Epoch 3: 60/374 Loss: 0.280132
2026-07-18 10:12: Train Epoch 3: 80/374 Loss: 0.216305
2026-07-18 10:13: Train Epoch 3: 100/374 Loss: 0.243013
2026-07-18 10:14: Train Epoch 3: 120/374 Loss: 0.223460
2026-07-18 10:15: Train Epoch 3: 140/374 Loss: 0.191344
2026-07-18 10:16: Train Epoch 3: 160/374 Loss: 0.222623
2026-07-18 10:17: Train Epoch 3: 180/374 Loss: 0.219144
2026-07-18 10:18: Train Epoch 3: 200/374 Loss: 0.196463
2026-07-18 10:19: Train Epoch 3: 220/374 Loss: 0.246026
2026-07-18 10:21: Train Epoch 3: 240/374 Loss: 0.242952
2026-07-18 10:22: Train Epoch 3: 260/374 Loss: 0.185216
2026-07-18 10:23: Train Epoch 3: 280/374 Loss: 0.256545
2026-07-18 10:25: Train Epoch 3: 300/374 Loss: 0.202277
2026-07-18 10:26: Train Epoch 3: 320/374 Loss: 0.209560
2026-07-18 10:27: Train Epoch 3: 340/374 Loss: 0.211555
2026-07-18 10:28: Train Epoch 3: 360/374 Loss: 0.338846
2026-07-18 10:29: **********Train Epoch 3: averaged Loss: 0.232116, tf_ratio: 1.000000
2026-07-18 10:30: **********Val Epoch 3: average Loss: 0.230268
2026-07-18 10:30: *********************************Current best model saved!
2026-07-18 10:30: Train Epoch 4: 0/374 Loss: 0.205082
2026-07-18 10:32: Train Epoch 4: 20/374 Loss: 0.212446
2026-07-18 10:33: Train Epoch 4: 40/374 Loss: 0.248713
2026-07-18 10:34: Train Epoch 4: 60/374 Loss: 0.191260
2026-07-18 10:36: Train Epoch 4: 80/374 Loss: 0.175969
2026-07-18 10:37: Train Epoch 4: 100/374 Loss: 0.210034
2026-07-18 10:38: Train Epoch 4: 120/374 Loss: 0.239310
2026-07-18 10:39: Train Epoch 4: 140/374 Loss: 0.220444
2026-07-18 10:41: Train Epoch 4: 160/374 Loss: 0.221796
2026-07-18 10:42: Train Epoch 4: 180/374 Loss: 0.216326
2026-07-18 10:44: Train Epoch 4: 200/374 Loss: 0.333488
2026-07-18 10:45: Train Epoch 4: 220/374 Loss: 0.266108
2026-07-18 10:46: Train Epoch 4: 240/374 Loss: 0.242399
2026-07-18 10:47: Train Epoch 4: 260/374 Loss: 0.225680
2026-07-18 10:49: Train Epoch 4: 280/374 Loss: 0.203992
2026-07-18 10:50: Train Epoch 4: 300/374 Loss: 0.183885
2026-07-18 10:52: Train Epoch 4: 320/374 Loss: 0.249720
2026-07-18 10:53: Train Epoch 4: 340/374 Loss: 0.273045
2026-07-18 10:55: Train Epoch 4: 360/374 Loss: 0.216344
2026-07-18 10:56: **********Train Epoch 4: averaged Loss: 0.228959, tf_ratio: 1.000000
2026-07-18 10:57: **********Val Epoch 4: average Loss: 0.228787
2026-07-18 10:57: *********************************Current best model saved!
2026-07-18 10:57: Train Epoch 5: 0/374 Loss: 0.204477
2026-07-18 10:58: Train Epoch 5: 20/374 Loss: 0.235283
2026-07-18 11:00: Train Epoch 5: 40/374 Loss: 0.217296
2026-07-18 11:02: Train Epoch 5: 60/374 Loss: 0.216836
2026-07-18 11:03: Train Epoch 5: 80/374 Loss: 0.206131
2026-07-18 11:05: Train Epoch 5: 100/374 Loss: 0.222491
2026-07-18 11:06: Train Epoch 5: 120/374 Loss: 0.195577
2026-07-18 11:08: Train Epoch 5: 140/374 Loss: 0.298833
2026-07-18 11:09: Train Epoch 5: 160/374 Loss: 0.195880
2026-07-18 11:11: Train Epoch 5: 180/374 Loss: 0.221081
2026-07-18 11:12: Train Epoch 5: 200/374 Loss: 0.269970
2026-07-18 11:14: Train Epoch 5: 220/374 Loss: 0.193558
2026-07-18 11:15: Train Epoch 5: 240/374 Loss: 0.193473
2026-07-18 11:17: Train Epoch 5: 260/374 Loss: 0.260360
2026-07-18 11:18: Train Epoch 5: 280/374 Loss: 0.187605
2026-07-18 11:20: Train Epoch 5: 300/374 Loss: 0.251981
2026-07-18 11:22: Train Epoch 5: 320/374 Loss: 0.180082
2026-07-18 11:23: Train Epoch 5: 340/374 Loss: 0.193887
2026-07-18 11:25: Train Epoch 5: 360/374 Loss: 0.229473
2026-07-18 11:26: **********Train Epoch 5: averaged Loss: 0.228459, tf_ratio: 1.000000
2026-07-18 11:27: **********Val Epoch 5: average Loss: 0.231227
2026-07-18 11:27: Train Epoch 6: 0/374 Loss: 0.178442
2026-07-18 11:28: Train Epoch 6: 20/374 Loss: 0.241358
2026-07-18 11:30: Train Epoch 6: 40/374 Loss: 0.253446
2026-07-18 11:31: Train Epoch 6: 60/374 Loss: 0.221838
2026-07-18 11:33: Train Epoch 6: 80/374 Loss: 0.238732
2026-07-18 11:34: Train Epoch 6: 100/374 Loss: 0.230624
2026-07-18 11:36: Train Epoch 6: 120/374 Loss: 0.251550
2026-07-18 11:37: Train Epoch 6: 140/374 Loss: 0.225009
2026-07-18 11:39: Train Epoch 6: 160/374 Loss: 0.234873
2026-07-18 11:40: Train Epoch 6: 180/374 Loss: 0.238373
2026-07-18 11:42: Train Epoch 6: 200/374 Loss: 0.292218
2026-07-18 11:43: Train Epoch 6: 220/374 Loss: 0.214276
2026-07-18 11:45: Train Epoch 6: 240/374 Loss: 0.225866
2026-07-18 11:46: Train Epoch 6: 260/374 Loss: 0.300072
2026-07-18 11:48: Train Epoch 6: 280/374 Loss: 0.209274
2026-07-18 11:49: Train Epoch 6: 300/374 Loss: 0.203056
2026-07-18 11:51: Train Epoch 6: 320/374 Loss: 0.230479
2026-07-18 11:53: Train Epoch 6: 340/374 Loss: 0.268156
2026-07-18 11:54: Train Epoch 6: 360/374 Loss: 0.221245
2026-07-18 11:56: **********Train Epoch 6: averaged Loss: 0.225226, tf_ratio: 1.000000
2026-07-18 11:57: **********Val Epoch 6: average Loss: 0.226472
2026-07-18 11:57: *********************************Current best model saved!
2026-07-18 11:57: Train Epoch 7: 0/374 Loss: 0.214580
2026-07-18 11:58: Train Epoch 7: 20/374 Loss: 0.212541
2026-07-18 12:00: Train Epoch 7: 40/374 Loss: 0.217689
2026-07-18 12:01: Train Epoch 7: 60/374 Loss: 0.304554
2026-07-18 12:03: Train Epoch 7: 80/374 Loss: 0.334914
2026-07-18 12:05: Train Epoch 7: 100/374 Loss: 0.294113
2026-07-18 12:06: Train Epoch 7: 120/374 Loss: 0.198690
2026-07-18 12:08: Train Epoch 7: 140/374 Loss: 0.247444
2026-07-18 12:10: Train Epoch 7: 160/374 Loss: 0.236643
2026-07-18 12:11: Train Epoch 7: 180/374 Loss: 0.190164
2026-07-18 12:13: Train Epoch 7: 200/374 Loss: 0.225747
2026-07-18 12:14: Train Epoch 7: 220/374 Loss: 0.220213
2026-07-18 12:16: Train Epoch 7: 240/374 Loss: 0.218731
2026-07-18 19:02: Train Epoch 7: 260/374 Loss: 0.240227
2026-07-18 19:04: Train Epoch 7: 280/374 Loss: 0.204120
2026-07-18 19:05: Train Epoch 7: 300/374 Loss: 0.253538
2026-07-18 19:06: Train Epoch 7: 320/374 Loss: 0.257799
2026-07-18 19:07: Train Epoch 7: 340/374 Loss: 0.205915
2026-07-18 19:09: Train Epoch 7: 360/374 Loss: 0.292022
2026-07-18 19:09: **********Train Epoch 7: averaged Loss: 0.224725, tf_ratio: 1.000000
2026-07-18 19:10: **********Val Epoch 7: average Loss: 0.226371
2026-07-18 19:10: *********************************Current best model saved!
2026-07-18 19:10: Train Epoch 8: 0/374 Loss: 0.170450
2026-07-18 19:12: Train Epoch 8: 20/374 Loss: 0.178847
2026-07-18 19:13: Train Epoch 8: 40/374 Loss: 0.206927
2026-07-18 19:14: Train Epoch 8: 60/374 Loss: 0.221083
2026-07-18 19:16: Train Epoch 8: 80/374 Loss: 0.219173
