2026-07-12 21:55: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260712215506
2026-07-12 21:55: Train Epoch 1: 0/374 Loss: 56.907249
2026-07-12 21:55: Train Epoch 1: 20/374 Loss: 35.624744
2026-07-12 21:56: Train Epoch 1: 40/374 Loss: 11.717370
2026-07-12 21:57: Train Epoch 1: 60/374 Loss: 9.901357
2026-07-12 21:58: Train Epoch 1: 80/374 Loss: 8.306784
2026-07-12 21:59: Train Epoch 1: 100/374 Loss: 7.028533
2026-07-12 22:00: Train Epoch 1: 120/374 Loss: 5.847692
2026-07-12 22:01: Train Epoch 1: 140/374 Loss: 8.007278
2026-07-12 22:02: Train Epoch 1: 160/374 Loss: 5.872454
2026-07-12 22:02: Train Epoch 1: 180/374 Loss: 5.765582
2026-07-12 22:03: Train Epoch 1: 200/374 Loss: 6.177307
2026-07-12 22:04: Train Epoch 1: 220/374 Loss: 5.100901
2026-07-12 22:05: Train Epoch 1: 240/374 Loss: 6.542491
2026-07-12 22:06: Train Epoch 1: 260/374 Loss: 4.534793
2026-07-12 22:07: Train Epoch 1: 280/374 Loss: 8.815167
2026-07-12 22:08: Train Epoch 1: 300/374 Loss: 4.597520
2026-07-12 22:09: Train Epoch 1: 320/374 Loss: 4.848801
2026-07-12 22:10: Train Epoch 1: 340/374 Loss: 5.096887
2026-07-12 22:11: Train Epoch 1: 360/374 Loss: 5.435736
2026-07-12 22:12: **********Train Epoch 1: averaged Loss: 9.525213, tf_ratio: 1.000000
2026-07-12 22:12: **********Val Epoch 1: average Loss: 5.878223
2026-07-12 22:12: *********************************Current best model saved!
2026-07-12 22:12: Train Epoch 2: 0/374 Loss: 6.265166
2026-07-12 22:13: Train Epoch 2: 20/374 Loss: 8.368546
2026-07-12 22:14: Train Epoch 2: 40/374 Loss: 5.630397
2026-07-12 22:15: Train Epoch 2: 60/374 Loss: 4.690487
2026-07-12 22:16: Train Epoch 2: 80/374 Loss: 4.227900
2026-07-12 22:17: Train Epoch 2: 100/374 Loss: 4.775447
2026-07-12 22:18: Train Epoch 2: 120/374 Loss: 4.275210
2026-07-12 22:19: Train Epoch 2: 140/374 Loss: 5.020470
2026-07-12 22:20: Train Epoch 2: 160/374 Loss: 7.271356
2026-07-12 22:21: Train Epoch 2: 180/374 Loss: 4.037117
2026-07-12 22:22: Train Epoch 2: 200/374 Loss: 4.603905
2026-07-12 22:23: Train Epoch 2: 220/374 Loss: 5.525794
2026-07-12 22:24: Train Epoch 2: 240/374 Loss: 4.126660
2026-07-12 22:25: Train Epoch 2: 260/374 Loss: 5.673260
2026-07-12 22:26: Train Epoch 2: 280/374 Loss: 6.168124
2026-07-12 22:27: Train Epoch 2: 300/374 Loss: 4.680948
2026-07-12 22:28: Train Epoch 2: 320/374 Loss: 6.348536
2026-07-12 22:29: Train Epoch 2: 340/374 Loss: 4.773752
2026-07-12 22:30: Train Epoch 2: 360/374 Loss: 4.289129
2026-07-12 22:31: **********Train Epoch 2: averaged Loss: 5.011493, tf_ratio: 1.000000
2026-07-12 22:32: **********Val Epoch 2: average Loss: 4.799181
2026-07-12 22:32: *********************************Current best model saved!
2026-07-12 22:32: Train Epoch 3: 0/374 Loss: 5.080465
2026-07-12 22:32: Train Epoch 3: 20/374 Loss: 3.592810
2026-07-12 22:33: Train Epoch 3: 40/374 Loss: 4.177296
2026-07-12 22:34: Train Epoch 3: 60/374 Loss: 4.342493
2026-07-12 22:35: Train Epoch 3: 80/374 Loss: 4.038139
2026-07-12 22:36: Train Epoch 3: 100/374 Loss: 4.220447
2026-07-12 22:37: Train Epoch 3: 120/374 Loss: 5.633869
2026-07-12 22:38: Train Epoch 3: 140/374 Loss: 4.582550
2026-07-12 22:39: Train Epoch 3: 160/374 Loss: 5.906420
2026-07-12 22:40: Train Epoch 3: 180/374 Loss: 3.976349
2026-07-12 22:41: Train Epoch 3: 200/374 Loss: 4.451979
2026-07-12 22:42: Train Epoch 3: 220/374 Loss: 3.941113
2026-07-12 22:43: Train Epoch 3: 240/374 Loss: 4.155612
2026-07-12 22:44: Train Epoch 3: 260/374 Loss: 4.221923
2026-07-12 22:45: Train Epoch 3: 280/374 Loss: 4.248693
2026-07-12 22:46: Train Epoch 3: 300/374 Loss: 4.992955
2026-07-12 22:47: Train Epoch 3: 320/374 Loss: 4.038181
2026-07-12 22:48: Train Epoch 3: 340/374 Loss: 3.961427
2026-07-12 22:49: Train Epoch 3: 360/374 Loss: 4.820002
2026-07-12 22:50: **********Train Epoch 3: averaged Loss: 4.761929, tf_ratio: 1.000000
2026-07-12 22:51: **********Val Epoch 3: average Loss: 4.715512
2026-07-12 22:51: *********************************Current best model saved!
2026-07-12 22:51: Train Epoch 4: 0/374 Loss: 6.299772
2026-07-12 22:52: Train Epoch 4: 20/374 Loss: 3.775544
2026-07-12 22:53: Train Epoch 4: 40/374 Loss: 4.177933
2026-07-12 22:54: Train Epoch 4: 60/374 Loss: 3.995491
2026-07-12 22:55: Train Epoch 4: 80/374 Loss: 4.432757
2026-07-12 22:56: Train Epoch 4: 100/374 Loss: 5.245969
2026-07-12 22:57: Train Epoch 4: 120/374 Loss: 7.416741
2026-07-12 22:58: Train Epoch 4: 140/374 Loss: 5.200878
2026-07-12 22:59: Train Epoch 4: 160/374 Loss: 4.783607
2026-07-12 23:00: Train Epoch 4: 180/374 Loss: 4.766371
2026-07-12 23:01: Train Epoch 4: 200/374 Loss: 4.005630
2026-07-12 23:02: Train Epoch 4: 220/374 Loss: 3.998833
2026-07-12 23:03: Train Epoch 4: 240/374 Loss: 4.277462
2026-07-12 23:04: Train Epoch 4: 260/374 Loss: 6.077536
2026-07-12 23:05: Train Epoch 4: 280/374 Loss: 3.917254
