2026-07-14 09:37: Experiment log path in: C:\Users\student\paperTest\DHFORMER\experiments\METRLA\20260714093719
2026-07-14 09:37: Train Epoch 1: 0/374 Loss: 53.584766
2026-07-14 09:38: Train Epoch 1: 20/374 Loss: 38.331909
2026-07-14 09:40: Train Epoch 1: 40/374 Loss: 12.572971
2026-07-14 09:41: Train Epoch 1: 60/374 Loss: 8.413761
2026-07-14 09:43: Train Epoch 1: 80/374 Loss: 7.298448
2026-07-14 09:44: Train Epoch 1: 100/374 Loss: 6.785686
2026-07-14 09:46: Train Epoch 1: 120/374 Loss: 6.238475
2026-07-14 09:47: Train Epoch 1: 140/374 Loss: 6.212089
2026-07-14 09:48: Train Epoch 1: 160/374 Loss: 4.745338
2026-07-14 09:50: Train Epoch 1: 180/374 Loss: 6.071603
2026-07-14 09:52: Train Epoch 1: 200/374 Loss: 6.297412
2026-07-14 09:53: Train Epoch 1: 220/374 Loss: 6.016262
2026-07-14 09:55: Train Epoch 1: 240/374 Loss: 5.551909
2026-07-14 09:56: Train Epoch 1: 260/374 Loss: 5.456841
2026-07-14 09:58: Train Epoch 1: 280/374 Loss: 6.586155
2026-07-14 09:59: Train Epoch 1: 300/374 Loss: 5.502886
2026-07-14 10:00: Train Epoch 1: 320/374 Loss: 4.971191
2026-07-14 10:02: Train Epoch 1: 340/374 Loss: 6.308036
2026-07-14 10:03: Train Epoch 1: 360/374 Loss: 4.281912
2026-07-14 10:04: **********Train Epoch 1: averaged Loss: 9.582584, tf_ratio: 1.000000
2026-07-14 10:05: **********Val Epoch 1: average Loss: 5.165009
2026-07-14 10:05: *********************************Current best model saved!
2026-07-14 10:05: Train Epoch 2: 0/374 Loss: 5.340276
2026-07-14 10:07: Train Epoch 2: 20/374 Loss: 5.419832
2026-07-14 10:08: Train Epoch 2: 40/374 Loss: 5.810736
2026-07-14 10:10: Train Epoch 2: 60/374 Loss: 5.937211
2026-07-14 10:11: Train Epoch 2: 80/374 Loss: 6.308912
2026-07-14 10:12: Train Epoch 2: 100/374 Loss: 6.328882
2026-07-14 10:14: Train Epoch 2: 120/374 Loss: 5.010234
2026-07-14 10:15: Train Epoch 2: 140/374 Loss: 5.391397
2026-07-14 10:17: Train Epoch 2: 160/374 Loss: 4.332897
2026-07-14 10:18: Train Epoch 2: 180/374 Loss: 5.648029
2026-07-14 10:19: Train Epoch 2: 200/374 Loss: 4.968369
2026-07-14 10:21: Train Epoch 2: 220/374 Loss: 5.509400
2026-07-14 10:22: Train Epoch 2: 240/374 Loss: 4.655081
2026-07-14 10:24: Train Epoch 2: 260/374 Loss: 4.432214
2026-07-14 10:25: Train Epoch 2: 280/374 Loss: 4.609720
2026-07-14 10:26: Train Epoch 2: 300/374 Loss: 4.703955
2026-07-14 10:28: Train Epoch 2: 320/374 Loss: 5.540353
2026-07-14 10:29: Train Epoch 2: 340/374 Loss: 4.812286
2026-07-14 10:31: Train Epoch 2: 360/374 Loss: 4.324727
2026-07-14 10:32: **********Train Epoch 2: averaged Loss: 4.959939, tf_ratio: 1.000000
2026-07-14 10:33: **********Val Epoch 2: average Loss: 4.731182
2026-07-14 10:33: *********************************Current best model saved!
2026-07-14 10:33: Train Epoch 3: 0/374 Loss: 4.930940
2026-07-14 10:34: Train Epoch 3: 20/374 Loss: 5.120679
2026-07-14 10:36: Train Epoch 3: 40/374 Loss: 6.629272
2026-07-14 10:37: Train Epoch 3: 60/374 Loss: 4.580770
2026-07-14 10:39: Train Epoch 3: 80/374 Loss: 4.763701
2026-07-14 10:40: Train Epoch 3: 100/374 Loss: 4.251924
2026-07-14 10:42: Train Epoch 3: 120/374 Loss: 4.137109
2026-07-14 10:43: Train Epoch 3: 140/374 Loss: 4.674685
