2026-07-12 17:22: Experiment log path in: C:\Users\samar\traffic-flow-predicition\AHF-STGCN\experiments\METRLA\20260712172221
2026-07-12 17:22: Train Epoch 1: 0/374 Loss: 56.836723
2026-07-12 17:23: Train Epoch 1: 20/374 Loss: 13.980678
2026-07-12 17:24: Train Epoch 1: 40/374 Loss: 10.668654
2026-07-12 17:24: Train Epoch 1: 60/374 Loss: 10.954758
2026-07-12 17:25: Train Epoch 1: 80/374 Loss: 10.361586
2026-07-12 17:26: Train Epoch 1: 100/374 Loss: 7.891065
2026-07-12 17:26: Train Epoch 1: 120/374 Loss: 5.487203
2026-07-12 17:27: Train Epoch 1: 140/374 Loss: 6.762913
2026-07-12 17:28: Train Epoch 1: 160/374 Loss: 5.663042
2026-07-12 17:29: Train Epoch 1: 180/374 Loss: 6.274849
2026-07-12 17:29: Train Epoch 1: 200/374 Loss: 5.765098
2026-07-12 17:30: Train Epoch 1: 220/374 Loss: 4.824018
2026-07-12 17:31: Train Epoch 1: 240/374 Loss: 5.694923
2026-07-12 17:31: Train Epoch 1: 260/374 Loss: 4.265170
2026-07-12 17:32: Train Epoch 1: 280/374 Loss: 5.348516
2026-07-12 17:33: Train Epoch 1: 300/374 Loss: 4.270634
2026-07-12 17:33: Train Epoch 1: 320/374 Loss: 4.354787
2026-07-12 17:34: Train Epoch 1: 340/374 Loss: 4.759336
2026-07-12 17:35: Train Epoch 1: 360/374 Loss: 5.397702
2026-07-12 17:35: **********Train Epoch 1: averaged Loss: 8.103750, tf_ratio: 1.000000
2026-07-12 17:36: **********Val Epoch 1: average Loss: 4.983973
2026-07-12 17:36: *********************************Current best model saved!
2026-07-12 17:36: Train Epoch 2: 0/374 Loss: 4.643518
2026-07-12 17:37: Train Epoch 2: 20/374 Loss: 3.854782
2026-07-12 17:38: Train Epoch 2: 40/374 Loss: 5.693917
2026-07-12 17:39: Train Epoch 2: 60/374 Loss: 4.321940
2026-07-12 17:40: Train Epoch 2: 80/374 Loss: 5.025768
2026-07-12 17:41: Train Epoch 2: 100/374 Loss: 4.549732
2026-07-12 17:42: Train Epoch 2: 120/374 Loss: 4.935242
2026-07-12 17:44: Train Epoch 2: 140/374 Loss: 4.244874
2026-07-12 17:45: Train Epoch 2: 160/374 Loss: 3.851408
2026-07-12 17:46: Train Epoch 2: 180/374 Loss: 4.689031
2026-07-12 17:47: Train Epoch 2: 200/374 Loss: 6.001540
2026-07-12 17:48: Train Epoch 2: 220/374 Loss: 6.463482
2026-07-12 17:50: Train Epoch 2: 240/374 Loss: 6.464772
2026-07-12 17:51: Train Epoch 2: 260/374 Loss: 3.974838
2026-07-12 17:51: Train Epoch 2: 280/374 Loss: 4.502501
2026-07-12 17:52: Train Epoch 2: 300/374 Loss: 3.802709
2026-07-12 17:53: Train Epoch 2: 320/374 Loss: 5.861110
2026-07-12 17:54: Train Epoch 2: 340/374 Loss: 5.693715
2026-07-12 17:55: Train Epoch 2: 360/374 Loss: 4.102195
2026-07-12 17:56: **********Train Epoch 2: averaged Loss: 4.756258, tf_ratio: 1.000000
2026-07-12 17:57: **********Val Epoch 2: average Loss: 4.748324
2026-07-12 17:57: *********************************Current best model saved!
2026-07-12 17:57: Train Epoch 3: 0/374 Loss: 4.294341
2026-07-12 17:58: Train Epoch 3: 20/374 Loss: 5.446374
2026-07-12 18:00: Train Epoch 3: 40/374 Loss: 5.204877
2026-07-12 18:01: Train Epoch 3: 60/374 Loss: 5.855824
2026-07-12 18:02: Train Epoch 3: 80/374 Loss: 5.369282
2026-07-12 18:04: Train Epoch 3: 100/374 Loss: 4.309253
2026-07-12 18:05: Train Epoch 3: 120/374 Loss: 4.481115
2026-07-12 18:07: Train Epoch 3: 140/374 Loss: 5.139685
2026-07-12 18:08: Train Epoch 3: 160/374 Loss: 4.097521
2026-07-12 18:10: Train Epoch 3: 180/374 Loss: 4.311697
2026-07-12 18:11: Train Epoch 3: 200/374 Loss: 4.299953
